modelName,BRbsg,BrBsmumu,gminus2,finetuning,Omegahsq,Xenonxsec,pSDxsec,lsp
100008899,-8.0164179035,-19.595094746,-20.0148360329,2.63e+03,-2.25379492882,-104.044039902,-95.0695771911,Bino
100008934,-7.98951045058,-19.5446108406,-20.0548725209,6.86e+03,-2.92807362508,-104.843911855,-103.171643363,Bino
100011941,-8.02249694958,-19.5446108406,-20.0845748422,1.98e+03,-3.26754099685,-105.796696645,-98.8713970564,Bino
100017999,-8.06930736742,-19.5886431108,-19.9439409601,5.48e+02,-2.62693114982,-101.975392605,-92.5174051589,Bino
100018878,-8.00736806798,-19.59833624,-20.0540528067,1.64e+03,-2.70455631185,-106.271312665,-98.2227016384,Bino
100029771,-7.94904250103,-19.6213257582,-20.0092871468,2.42e+02,-2.80511191395,-109.140293233,-93.1763482617,Bino
100030028,-8.04718956217,-19.6015882753,-20.1299389917,1.08e+03,-2.35177533718,-112.74049186,-101.106729922,Bino
100036184,-8.06293791914,-19.7716079612,-20.1590890377,4.12e+02,-5.18677599182,-106.762884348,-97.7164318311,Bino
100042885,-8.03168537563,-19.5538844774,-20.1585203712,6.23e+02,-5.32466134189,-105.999040322,-99.0498998271,Bino
100043096,-8.1807209548,-19.604850921,-20.4019072381,2.22e+02,-2.60233974668,-102.118940776,-92.3442022063,Bino
100050341,-8.01339218259,-19.595094746,-19.9780007021,8.54e+02,-2.27302629075,-111.077469702,-95.0314773448,Bino
100053663,-7.96907178291,-19.5663846402,-19.9803765645,9.31e+02,-3.62309171358,-107.816034263,-95.8414734181,Bino
100057332,-7.98951045058,-19.7337246433,-22.1503821926,6.70e+02,-2.5770219387,-108.767952172,-99.4527695535,Bino
100058435,-7.99542762761,-19.604850921,-20.0226962706,4.23e+02,-2.43725999632,-107.533364732,-94.5579751698,Bino
100063421,-8.0194528072,-19.6015882753,-20.0155749309,1.30e+03,-3.73387682004,-110.921581402,-97.6604918153,Bino
100077029,-8.00436956499,-19.59833624,-20.0447248088,2.76e+03,-2.3947003819,-102.684165104,-91.9549837146,Bino
100082452,-7.99246466248,-19.5663846402,-20.0451307765,7.12e+03,-5.1060454789,-105.06449895,-106.236368509,Bino
100087980,-7.98951045058,-19.5538844774,-19.9885449445,6.09e+03,-2.73954086819,-108.099281738,-96.9989262068,Bino
100094639,-8.05345917518,-19.3419840177,-20.0405731143,5.84e+03,-2.33201390368,-102.770460917,-91.6912940689,Bino
100100172,-7.96043863576,-19.595094746,-20.022249698,7.50e+03,-2.42475272697,-106.891775361,-98.8541552499,Bino
100104814,-7.9806998209,-19.604850921,-20.0457400373,4.02e+03,-2.96811710652,-109.576295065,-98.6890754996,Bino
100106729,-8.00736806798,-19.6015882753,-20.0370425715,4.04e+03,-2.34028696018,-107.132937418,-98.2884530159,Bino
100107427,-8.05031945518,-19.6654755428,-20.1032271282,5.12e+02,-3.27280416689,-100.850010076,-96.316531818,Bino
100118386,-8.01339218259,-19.604850921,-20.0105611572,4.22e+02,-2.11196473339,-106.907775702,-92.7401705669,Bino
100126195,-7.88061636234,-19.595094746,-20.0407247022,3.38e+03,-3.11677060193,-107.503659578,-105.220779556,Bino
100128573,-7.9806998209,-19.59833624,-20.0268490075,7.47e+03,-3.68091128446,-103.978734803,-105.770494273,Bino
100130547,-7.96330807819,-19.3546264111,-19.9307259125,3.22e+02,-6.30891877789,-103.577108472,-93.3174268599,Bino
